datetime (UTC),"coordinates (lat,lon)",temperature (degC),relative_humidity (0-1),wind_speed (m/s),total_precipitation (mm of water equivalent),surface_pressure (Pa),snowfall (mm of water equivalent),snow_depth (mm of water equivalent),absolute_humidity (g/m^3),rainfall (mm)
3/8/2024 9:00,"(42.089797, -76.807734)",2.97,0.75,2.26,0,97374.53,0,0,4.452133824,0
3/8/2024 10:00,"(42.089797, -76.807734)",4.82,0.63,2.51,0,97327.21,0,0,4.231503087,0
3/8/2024 11:00,"(42.089797, -76.807734)",6.77,0.55,2.83,0,97338.64,0,0,4.199280292,0
3/8/2024 12:00,"(42.089797, -76.807734)",9.8,0.45,2.9,0,97269.34,0,0,4.17584438,0
3/8/2024 13:00,"(42.089797, -76.807734)",11.14,0.4,2.88,0,97221.2,0,0,4.040078284,0
3/8/2024 14:00,"(42.089797, -76.807734)",12.38,0.36,3.23,0,97143.77,0,0,3.929400943,0
3/8/2024 15:00,"(42.089797, -76.807734)",13.17,0.34,3.58,0,97053.22,0,0,3.897552613,0
3/8/2024 16:00,"(42.089797, -76.807734)",13.12,0.33,4.01,0,97017.84,0,0,3.771235447,0
3/8/2024 17:00,"(42.089797, -76.807734)",11.77,0.36,3.16,0,96992.32,0,0,3.782628706,0
3/8/2024 18:00,"(42.089797, -76.807734)",10.22,0.42,3.79,0,96960.6,0,0,4.002748904,0
3/8/2024 19:00,"(42.089797, -76.807734)",9.35,0.47,4.15,0,96912.5,0,0,4.238195671,0
3/8/2024 20:00,"(42.089797, -76.807734)",8.53,0.51,4.68,0,96990.13,0,0,4.363652741,0
3/8/2024 21:00,"(42.089797, -76.807734)",8.34,0.53,5.12,0,97031.4,0,0,4.479712935,0
3/8/2024 22:00,"(42.089797, -76.807734)",8.15,0.53,4.9,0,96937.21,0,0,4.425233239,0
3/8/2024 23:00,"(42.089797, -76.807734)",8.02,0.54,5.08,0,96902.96,0,0,4.471089266,0
3/9/2024 0:00,"(42.089797, -76.807734)",7.38,0.58,5.26,0,96862.99,0,0,4.60751647,0
3/9/2024 1:00,"(42.089797, -76.807734)",6.93,0.62,5.61,0,96841.15,0,0,4.783334785,0
3/9/2024 2:00,"(42.089797, -76.807734)",6.42,0.61,5.79,0,96821.9,0,0,4.552169384,0
3/9/2024 3:00,"(42.089797, -76.807734)",5.84,0.55,5.87,0,96735.52,0,0,3.951325651,0
3/9/2024 4:00,"(42.089797, -76.807734)",5.47,0.49,6.04,0,96681.95,0,0,3.435605575,0
3/9/2024 5:00,"(42.089797, -76.807734)",4.72,0.5,5.75,0.03,96607.65,0.01,0,3.336148904,0.02
3/9/2024 6:00,"(42.089797, -76.807734)",4.31,0.55,5.75,0.12,96511.41,0.09,0,3.571168397,0.03
3/9/2024 7:00,"(42.089797, -76.807734)",4.09,0.61,6.03,0.17,96462.17,0.11,0,3.903140129,0.06
3/9/2024 8:00,"(42.089797, -76.807734)",3.97,0.68,6.28,0.16,96363.17,0.04,0,4.316357204,0.12
3/9/2024 9:00,"(42.089797, -76.807734)",4.69,0.7,6.53,0.11,96284.17,0,0,4.661325026,0.11
3/9/2024 10:00,"(42.089797, -76.807734)",5.34,0.67,6.61,0.04,96206.22,0,0,4.657570925,0.04
3/9/2024 11:00,"(42.089797, -76.807734)",6.04,0.67,6.81,0.04,96140.99,0,0,4.877041978,0.04
3/9/2024 12:00,"(42.089797, -76.807734)",5.56,0.78,6.36,0.46,96054.64,0,0,5.501442886,0.46
3/9/2024 13:00,"(42.089797, -76.807734)",5.14,0.87,5.84,0.52,95973.63,0,0,5.968553064,0.52
3/9/2024 14:00,"(42.089797, -76.807734)",4.78,0.91,5.75,1.93,95931.42,0,0,6.095990997,1.93
3/9/2024 15:00,"(42.089797, -76.807734)",4.73,0.91,5.32,2.14,95842.29,0,0,6.075818496,2.14
3/9/2024 16:00,"(42.089797, -76.807734)",4.63,0.91,4.62,1.85,95726.5,0,0,6.035648486,1.85
3/9/2024 17:00,"(42.089797, -76.807734)",3.95,0.92,4.55,1.3,95616.26,0,0,5.831988329,1.3
3/9/2024 18:00,"(42.089797, -76.807734)",3.93,0.92,4.6,1.45,95499.72,0,0,5.824208354,1.45
3/9/2024 19:00,"(42.089797, -76.807734)",4.04,0.92,4.41,1.95,95415.8,0,0,5.867110822,1.95
3/9/2024 20:00,"(42.089797, -76.807734)",4.03,0.93,4.2,1.81,95319.43,0,0,5.926929635,1.81
3/9/2024 21:00,"(42.089797, -76.807734)",3.86,0.93,3.07,1.77,95247.8,0,0,5.860061296,1.77
3/9/2024 22:00,"(42.089797, -76.807734)",3.68,0.94,1.7,2.13,95160.46,0,0,5.852237578,2.13
3/9/2024 23:00,"(42.089797, -76.807734)",3.58,0.94,0.79,2.11,95085.39,0,0,5.813205876,2.11
3/10/2024 0:00,"(42.089797, -76.807734)",3.45,0.94,0.33,0.99,95026.22,0,0,5.762805295,0.99
3/10/2024 1:00,"(42.089797, -76.807734)",3.67,0.93,1.52,0.6,94965.09,0,0,5.786107904,0.6
3/10/2024 3:00,"(42.089797, -76.807734)",3.66,0.94,3,0.31,94926.73,0,0,5.844412947,0.31
3/10/2024 4:00,"(42.089797, -76.807734)",3.08,0.94,4.1,0.13,94887.77,0,0,5.621444336,0.13
3/10/2024 5:00,"(42.089797, -76.807734)",2.56,0.93,4.19,0.06,94855.26,0,0,5.370164447,0.06
3/10/2024 6:00,"(42.089797, -76.807734)",2.69,0.87,3.44,0.03,94931,0,0,5.067969261,0.03
3/10/2024 7:00,"(42.089797, -76.807734)",2.84,0.86,3.11,0.03,94903.88,0,0,5.060626173,0.03
3/10/2024 8:00,"(42.089797, -76.807734)",2.82,0.86,3.17,0.04,94866.36,0,0,5.053812187,0.04
3/10/2024 9:00,"(42.089797, -76.807734)",2.85,0.84,3.12,0.09,94878.97,0.01,0,4.946267898,0.08
3/10/2024 10:00,"(42.089797, -76.807734)",3.01,0.73,3.7,0.09,94856.88,0.02,0,4.345087784,0.07
3/10/2024 11:00,"(42.089797, -76.807734)",3.38,0.66,4.38,0.06,94866.76,0.01,0,4.027281542,0.05
3/10/2024 12:00,"(42.089797, -76.807734)",3.43,0.6,4.98,0.07,94830.53,0.01,0,3.673458763,0.06
3/10/2024 13:00,"(42.089797, -76.807734)",3.09,0.62,5.38,0.11,94791.32,0.01,0,3.710254537,0.1
3/10/2024 14:00,"(42.089797, -76.807734)",3.24,0.65,5.24,0.1,94722.19,0,0,3.929178436,0.1
3/10/2024 15:00,"(42.089797, -76.807734)",1.93,0.68,6.23,0.68,94694.62,0.42,0,3.762618949,0.26
3/10/2024 16:00,"(42.089797, -76.807734)",1.06,0.72,6.98,0.38,94771.24,0.25,0,3.754672253,0.13
3/10/2024 17:00,"(42.089797, -76.807734)",1.1,0.72,6.45,0.12,94808.83,0.07,0,3.764954287,0.05
3/10/2024 18:00,"(42.089797, -76.807734)",-0.31,0.74,6.7,0.06,94927.39,0.05,0,3.511965532,0.01
3/10/2024 19:00,"(42.089797, -76.807734)",-1.23,0.78,6.01,0.03,94968.84,0.03,0,3.47268781,0
3/10/2024 20:00,"(42.089797, -76.807734)",-1.58,0.75,5.83,0.03,95012.17,0.03,0,3.25851185,0
3/10/2024 21:00,"(42.089797, -76.807734)",-2.05,0.73,6.47,0.05,95061.46,0.05,0,3.068875356,0
3/10/2024 22:00,"(42.089797, -76.807734)",-1.85,0.71,7,0.07,95156.23,0.07,0,3.02696597,0
3/10/2024 23:00,"(42.089797, -76.807734)",-1.68,0.68,7.32,0.08,95196.77,0.08,0,2.933788734,0
3/11/2024 0:00,"(42.089797, -76.807734)",-1.65,0.71,8.08,0.1,95237.59,0.1,0,3.069657908,0
3/11/2024 1:00,"(42.089797, -76.807734)",-1.4,0.71,7.15,0.12,95298.06,0.12,0,3.123766027,0
3/11/2024 2:00,"(42.089797, -76.807734)",-1.34,0.72,6.99,0.13,95352.76,0.13,0,3.181057296,0
3/11/2024 3:00,"(42.089797, -76.807734)",-1.23,0.73,7.07,0.16,95397.19,0.15,0,3.250079617,0.01
3/11/2024 4:00,"(42.089797, -76.807734)",-0.74,0.71,7.4,0.1,95444.71,0.09,0,3.270656483,0.01
3/11/2024 5:00,"(42.089797, -76.807734)",-0.84,0.68,6.4,0.04,95481.71,0.04,0,3.110777686,0
3/11/2024 6:00,"(42.089797, -76.807734)",-0.81,0.61,7.27,0.03,95570.61,0.02,0,2.796373143,0.01
3/11/2024 7:00,"(42.089797, -76.807734)",-0.92,0.61,7.37,0.02,95689.9,0.01,0,2.775075716,0.01
3/11/2024 8:00,"(42.089797, -76.807734)",-0.99,0.6,6.9,0.01,95779.28,0.01,0,2.716324991,0
3/11/2024 9:00,"(42.089797, -76.807734)",-0.67,0.57,8.28,0,95881.37,0,0,2.638526637,0
3/11/2024 10:00,"(42.089797, -76.807734)",0.92,0.52,8.77,0,95944.5,0,0,2.685856856,0
3/11/2024 11:00,"(42.089797, -76.807734)",2.14,0.46,8.47,0,96025.91,0,0,2.581811298,0
3/11/2024 12:00,"(42.089797, -76.807734)",3.25,0.41,8.24,0,96020.57,0,0,2.480069292,0
3/11/2024 13:00,"(42.089797, -76.807734)",4.71,0.37,8.2,0,96052.29,0,0,2.467113587,0
3/11/2024 14:00,"(42.089797, -76.807734)",5.54,0.34,7.99,0,96033.87,0,0,2.394908441,0
3/11/2024 15:00,"(42.089797, -76.807734)",6.15,0.33,7.6,0,96023.71,0,0,2.419510156,0
3/11/2024 16:00,"(42.089797, -76.807734)",6.46,0.34,7.41,0,96062.4,0,0,2.543917836,0
3/11/2024 17:00,"(42.089797, -76.807734)",6.2,0.36,6.96,0,96103.37,0,0,2.648125835,0
3/11/2024 18:00,"(42.089797, -76.807734)",4.92,0.42,4.68,0,96107.46,0,0,2.839747288,0
3/11/2024 19:00,"(42.089797, -76.807734)",4.12,0.44,4.57,0,96128.42,0,0,2.821015037,0
3/11/2024 20:00,"(42.089797, -76.807734)",3.62,0.45,4.77,0,96223.55,0,0,2.790378736,0
3/11/2024 21:00,"(42.089797, -76.807734)",3.17,0.46,4.55,0,96261.92,0,0,2.767608151,0
3/11/2024 22:00,"(42.089797, -76.807734)",2.56,0.48,4.21,0,96232.79,0,0,2.771697779,0
3/11/2024 23:00,"(42.089797, -76.807734)",2.54,0.46,4.42,0,96258.18,0,0,2.652625452,0
3/12/2024 0:00,"(42.089797, -76.807734)",2.59,0.46,4.18,0.01,96240.54,0,0,2.661595706,0.01
3/12/2024 1:00,"(42.089797, -76.807734)",3.09,0.46,3.55,0,96162.6,0,0,2.752769495,0
3/12/2024 2:00,"(42.089797, -76.807734)",3.26,0.48,3.23,0,96082.59,0,0,2.905445506,0
3/12/2024 3:00,"(42.089797, -76.807734)",3.64,0.49,3.45,0,95982.54,0,0,3.04248166,0
3/12/2024 4:00,"(42.089797, -76.807734)",3.46,0.54,3.64,0,95946.2,0,0,3.312767092,0
3/12/2024 5:00,"(42.089797, -76.807734)",3.74,0.58,3.55,0,95930.23,0,0,3.625472941,0
3/12/2024 6:00,"(42.089797, -76.807734)",2.46,0.67,3.6,0,95948.97,0,0,3.842782238,0
3/12/2024 7:00,"(42.089797, -76.807734)",2.18,0.7,3.18,0,95999.32,0,0,3.939504739,0
3/12/2024 8:00,"(42.089797, -76.807734)",2.02,0.73,3.04,0,96072.04,0,0,4.064025117,0
3/12/2024 9:00,"(42.089797, -76.807734)",4.61,0.67,2.76,0,96088.59,0,0,4.437934519,0
3/12/2024 10:00,"(42.089797, -76.807734)",8.62,0.57,3.26,0,96088.27,0,0,4.905295582,0
3/12/2024 11:00,"(42.089797, -76.807734)",10.38,0.53,3.34,0,96120,0,0,5.102521238,0
3/12/2024 12:00,"(42.089797, -76.807734)",11.76,0.48,3.32,0,96103.12,0,0,5.040350491,0
3/12/2024 13:00,"(42.089797, -76.807734)",13.68,0.42,3.64,0,96088.44,0,0,4.968593685,0
3/12/2024 14:00,"(42.089797, -76.807734)",14.96,0.37,3.85,0,96034.52,0,0,4.7342304,0
3/12/2024 15:00,"(42.089797, -76.807734)",15.58,0.34,3.9,0,95995.08,0,0,4.517513992,0
3/12/2024 16:00,"(42.089797, -76.807734)",16.4,0.31,3.76,0,95956.5,0,0,4.328238465,0
3/12/2024 17:00,"(42.089797, -76.807734)",16.57,0.28,3.47,0,95958.85,0,0,3.949599205,0
3/12/2024 18:00,"(42.089797, -76.807734)",15,0.34,2.46,0,95945.1,0,0,4.360992916,0
3/12/2024 19:00,"(42.089797, -76.807734)",13.08,0.43,1.77,0,95992.81,0,0,4.901884564,0
3/12/2024 20:00,"(42.089797, -76.807734)",10.9,0.49,2.21,0,96038.41,0,0,4.874890586,0
3/12/2024 21:00,"(42.089797, -76.807734)",9.07,0.57,1.58,0,96081.61,0,0,5.048808276,0
3/12/2024 22:00,"(42.089797, -76.807734)",7.64,0.62,0.93,0,96086.96,0,0,5.008950313,0
3/12/2024 23:00,"(42.089797, -76.807734)",6.13,0.69,0.9,0,96100.33,0,0,5.052349571,0
3/13/2024 0:00,"(42.089797, -76.807734)",5.57,0.72,1.12,0,96096.3,0,0,5.081599934,0
3/13/2024 1:00,"(42.089797, -76.807734)",4.31,0.79,1.72,0,96082.1,0,0,5.129496425,0
3/13/2024 2:00,"(42.089797, -76.807734)",4.17,0.8,1.91,0,96088.09,0,0,5.146234689,0
3/13/2024 3:00,"(42.089797, -76.807734)",4.12,0.81,2.13,0,96096.77,0,0,5.193232226,0
3/13/2024 4:00,"(42.089797, -76.807734)",3.95,0.81,2.42,0,96055.88,0,0,5.134685377,0
3/13/2024 5:00,"(42.089797, -76.807734)",4.27,0.78,2.47,0,96070.57,0,0,5.051102056,0
3/13/2024 6:00,"(42.089797, -76.807734)",3.67,0.79,2.86,0,96073.91,0,0,4.915080907,0
3/13/2024 7:00,"(42.089797, -76.807734)",4.03,0.76,2.66,0,96099.21,0,0,4.84351239,0
3/13/2024 8:00,"(42.089797, -76.807734)",4.16,0.74,2.78,0,96111.93,0,0,4.757096855,0
3/13/2024 9:00,"(42.089797, -76.807734)",5.94,0.68,2.77,0,96164.29,0,0,4.917461975,0
3/13/2024 10:00,"(42.089797, -76.807734)",11.02,0.53,2.61,0,96175.84,0,0,5.312840435,0
3/13/2024 11:00,"(42.089797, -76.807734)",14.12,0.43,3.01,0,96181.84,0,0,5.226390936,0
3/13/2024 12:00,"(42.089797, -76.807734)",16.42,0.38,3.11,0,96156.47,0,0,5.311979623,0
3/13/2024 13:00,"(42.089797, -76.807734)",18.82,0.34,3.2,0,96121.27,0,0,5.484568122,0
3/13/2024 14:00,"(42.089797, -76.807734)",20.29,0.31,4.24,0.02,96057.23,0,0,5.451681132,0.02
3/13/2024 15:00,"(42.089797, -76.807734)",20.54,0.3,4.8,0.05,96009.63,0,0,5.353339287,0.05
3/13/2024 16:00,"(42.089797, -76.807734)",20.57,0.3,4.67,0.02,95997.46,0,0,5.362707291,0.02
3/13/2024 17:00,"(42.089797, -76.807734)",20.52,0.29,3.83,0.02,96020.4,0,0,5.168865076,0.02
3/13/2024 18:00,"(42.089797, -76.807734)",18.54,0.33,2.45,0,96049.9,0,0,5.235805063,0
3/13/2024 19:00,"(42.089797, -76.807734)",17.13,0.37,2.52,0.01,96133.8,0,0,5.397563493,0.01
3/13/2024 20:00,"(42.089797, -76.807734)",15.36,0.42,2.75,0.04,96219.76,0,0,5.506422483,0.04
3/13/2024 21:00,"(42.089797, -76.807734)",14.08,0.5,2.61,0,96299.97,0,0,6.06229494,0
3/13/2024 22:00,"(42.089797, -76.807734)",12.35,0.56,2.29,0,96382.42,0,0,6.100995637,0
3/13/2024 23:00,"(42.089797, -76.807734)",11.1,0.6,2.19,0,96394.47,0,0,6.044890461,0
3/14/2024 0:00,"(42.089797, -76.807734)",10.09,0.64,2.12,0,96444.86,0,0,6.049365968,0
3/14/2024 1:00,"(42.089797, -76.807734)",8.48,0.68,2.01,0,96475.95,0,0,5.799539234,0
3/14/2024 2:00,"(42.089797, -76.807734)",7.02,0.75,2.14,0,96501.4,0,0,5.820283028,0
3/14/2024 3:00,"(42.089797, -76.807734)",5.7,0.79,2.04,0,96536.06,0,0,5.623549085,0
3/14/2024 4:00,"(42.089797, -76.807734)",4.53,0.82,1.78,0,96516.57,0,0,5.402728461,0
3/14/2024 5:00,"(42.089797, -76.807734)",3.61,0.85,1.76,0,96597.13,0,0,5.267189031,0
3/14/2024 6:00,"(42.089797, -76.807734)",3.09,0.87,1.67,0,96630.41,0,0,5.206324915,0
3/14/2024 7:00,"(42.089797, -76.807734)",2.69,0.86,1.37,0,96697.44,0,0,5.009716741,0
3/14/2024 8:00,"(42.089797, -76.807734)",2.84,0.86,0.95,0,96734.9,0,0,5.060626173,0
3/14/2024 9:00,"(42.089797, -76.807734)",5.21,0.82,0.62,0,96798.48,0,0,5.65160694,0
3/14/2024 10:00,"(42.089797, -76.807734)",9.79,0.6,0.58,0,96839.29,0,0,5.564253476,0
3/14/2024 11:00,"(42.089797, -76.807734)",12.33,0.47,0.38,0,96834.64,0,0,5.114105275,0
3/14/2024 12:00,"(42.089797, -76.807734)",13.96,0.37,0.3,0,96784.67,0,0,4.453152474,0
3/14/2024 13:00,"(42.089797, -76.807734)",16.41,0.28,0.57,0,96695.11,0,0,3.911732848,0
3/14/2024 14:00,"(42.089797, -76.807734)",17.87,0.24,0.82,0,96626.22,0,0,3.659324172,0
3/14/2024 15:00,"(42.089797, -76.807734)",18.87,0.24,1.14,0,96481.36,0,0,3.882913392,0
3/14/2024 16:00,"(42.089797, -76.807734)",19.34,0.27,1.93,0,96393.59,0,0,4.491018436,0
3/14/2024 17:00,"(42.089797, -76.807734)",19.42,0.31,2.39,0,96373.6,0,0,5.180679311,0
3/14/2024 18:00,"(42.089797, -76.807734)",17.51,0.36,1.6,0,96293.9,0,0,5.372407829,0
3/14/2024 19:00,"(42.089797, -76.807734)",16.56,0.44,2.72,0.01,96278.77,0,0,6.202779459,0.01
3/14/2024 20:00,"(42.089797, -76.807734)",16.07,0.49,3.03,0,96198.8,0,0,6.706541714,0
3/14/2024 21:00,"(42.089797, -76.807734)",15.4,0.55,3.18,0.19,96011.77,0,0,7.228335561,0.19
3/14/2024 22:00,"(42.089797, -76.807734)",15.12,0.57,3.73,0.29,95893.21,0,0,7.364710137,0.29
3/14/2024 23:00,"(42.089797, -76.807734)",14.76,0.55,4.28,0.28,95910.6,0,0,6.952023246,0.28
3/15/2024 0:00,"(42.089797, -76.807734)",13.88,0.6,5.3,0.12,95859.13,0,0,7.185900742,0.12
3/15/2024 1:00,"(42.089797, -76.807734)",13.2,0.66,5.1,0,95835.43,0,0,7.579887497,0
3/15/2024 2:00,"(42.089797, -76.807734)",12.7,0.75,4.54,0,95801.52,0,0,8.35074283,0
3/15/2024 3:00,"(42.089797, -76.807734)",12.68,0.84,4.15,0,95739.51,0,0,9.34122412,0
3/15/2024 4:00,"(42.089797, -76.807734)",12.76,0.9,3.88,0,95634.26,0,0,10.05828293,0
3/15/2024 5:00,"(42.089797, -76.807734)",12.36,0.94,3.35,0.01,95603.5,0,0,10.24733534,0.01
3/15/2024 6:00,"(42.089797, -76.807734)",11.81,0.93,2.94,0.17,95600.41,0,0,9.796271075,0.17
3/15/2024 7:00,"(42.089797, -76.807734)",11.35,0.93,3.26,1.01,95654.79,0,0,9.517941757,1.01
3/15/2024 8:00,"(42.089797, -76.807734)",9.21,0.94,4.81,1.29,95799.04,0,0,8.40095536,1.29
3/15/2024 9:00,"(42.089797, -76.807734)",6.3,0.91,4.19,0.18,95961.41,0,0,6.737844032,0.18
3/15/2024 10:00,"(42.089797, -76.807734)",6.27,0.88,3.45,0.01,95964.64,0,0,6.502935528,0.01
3/15/2024 11:00,"(42.089797, -76.807734)",6.67,0.84,3.86,0,95977.29,0,0,6.371755275,0
3/15/2024 12:00,"(42.089797, -76.807734)",7.16,0.84,4.2,0,96029.15,0,0,6.578324689,0
3/15/2024 13:00,"(42.089797, -76.807734)",7.82,0.79,4.62,0,96035.41,0,0,6.457106201,0
3/15/2024 14:00,"(42.089797, -76.807734)",8.09,0.77,4.62,0,96067.06,0,0,6.404292767,0
3/15/2024 15:00,"(42.089797, -76.807734)",8.15,0.74,4.31,0,96015,0,0,6.178627542,0
3/15/2024 16:00,"(42.089797, -76.807734)",8.15,0.72,4,0,96025.18,0,0,6.011637608,0
3/15/2024 17:00,"(42.089797, -76.807734)",7.85,0.72,3.74,0,96006.63,0,0,5.896376914,0
3/15/2024 18:00,"(42.089797, -76.807734)",6.99,0.72,3.18,0,96084.43,0,0,5.576576067,0
3/15/2024 19:00,"(42.089797, -76.807734)",6.79,0.71,3.34,0,96115.62,0,0,5.427960964,0
3/15/2024 20:00,"(42.089797, -76.807734)",6.17,0.74,2.71,0,96123.08,0,0,5.432682736,0
3/15/2024 21:00,"(42.089797, -76.807734)",5.65,0.77,2.2,0,96137.13,0,0,5.463181012,0
3/15/2024 22:00,"(42.089797, -76.807734)",4.98,0.8,1.88,0,96116.7,0,0,5.430564963,0
3/15/2024 23:00,"(42.089797, -76.807734)",4.54,0.82,2.29,0,96099.04,0,0,5.406317843,0
3/16/2024 0:00,"(42.089797, -76.807734)",4.44,0.82,2.72,0,96122.27,0,0,5.370517665,0
3/16/2024 1:00,"(42.089797, -76.807734)",4.12,0.83,2.85,0.01,96085.24,0,0,5.321460183,0.01
3/16/2024 2:00,"(42.089797, -76.807734)",4.45,0.82,2.75,0.04,96071.4,0,0,5.374088331,0.04
3/16/2024 3:00,"(42.089797, -76.807734)",4.66,0.83,2.64,0.02,96071.32,0,0,5.516011298,0.02
3/16/2024 4:00,"(42.089797, -76.807734)",4.54,0.83,2.63,0.01,96068.17,0,0,5.472248548,0.01
3/16/2024 5:00,"(42.089797, -76.807734)",4.08,0.86,2.53,0.01,96043.42,0,0,5.499120537,0.01
3/16/2024 6:00,"(42.089797, -76.807734)",3.59,0.82,2.22,0.01,96058.81,0,0,5.074490416,0.01
3/16/2024 7:00,"(42.089797, -76.807734)",3.54,0.77,2.17,0.01,96055.12,0,0,4.749144635,0.01
3/16/2024 8:00,"(42.089797, -76.807734)",3.27,0.71,2.52,0,96089.13,0,0,4.300523844,0
3/16/2024 9:00,"(42.089797, -76.807734)",3.57,0.7,2.69,0,96087.92,0,0,4.326085833,0
3/16/2024 10:00,"(42.089797, -76.807734)",5.12,0.62,2.59,0,96066.28,0,0,4.247833481,0
3/16/2024 11:00,"(42.089797, -76.807734)",6.1,0.55,2.43,0,96027.07,0,0,4.019323849,0
3/16/2024 12:00,"(42.089797, -76.807734)",7.41,0.5,2.42,0,95949.42,0,0,3.979732482,0
3/16/2024 13:00,"(42.089797, -76.807734)",9.5,0.42,3.31,0,95855.92,0,0,3.823729007,0
3/16/2024 14:00,"(42.089797, -76.807734)",11.2,0.36,4.66,0,95746.93,0,0,3.649812256,0
3/16/2024 15:00,"(42.089797, -76.807734)",11.51,0.36,5.22,0,95603.92,0,0,3.72153354,0
3/16/2024 16:00,"(42.089797, -76.807734)",11.99,0.35,5.32,0,95521.19,0,0,3.728475921,0
3/16/2024 17:00,"(42.089797, -76.807734)",12.01,0.35,5.35,0,95541.85,0,0,3.733135275,0
3/16/2024 18:00,"(42.089797, -76.807734)",11.47,0.33,3.11,0,95465.32,0,0,3.402859953,0
3/16/2024 19:00,"(42.089797, -76.807734)",10.26,0.38,2.79,0,95441.49,0,0,3.630723439,0
3/16/2024 20:00,"(42.089797, -76.807734)",9.46,0.41,3.48,0,95389.5,0,0,3.723181958,0
3/16/2024 21:00,"(42.089797, -76.807734)",9.03,0.43,4.07,0,95345.27,0,0,3.799016163,0
3/16/2024 22:00,"(42.089797, -76.807734)",8.84,0.45,4.45,0,95274.82,0,0,3.927636979,0
3/16/2024 23:00,"(42.089797, -76.807734)",9.27,0.46,4.5,0,95173.29,0,0,4.126891541,0
3/17/2024 0:00,"(42.089797, -76.807734)",9.34,0.46,4.75,0,95069.73,0,0,4.145374933,0
3/17/2024 1:00,"(42.089797, -76.807734)",8.88,0.49,4.96,0.07,94999.49,0,0,4.287735487,0.07
3/17/2024 2:00,"(42.089797, -76.807734)",7.68,0.65,4.6,0.44,95024.17,0,0,5.264929417,0.44
3/17/2024 3:00,"(42.089797, -76.807734)",6.15,0.83,4.23,0.99,95036.71,0,0,6.085434635,0.99
3/17/2024 4:00,"(42.089797, -76.807734)",5.16,0.91,3.7,0.9,95045.97,0,0,6.251224787,0.9
3/17/2024 5:00,"(42.089797, -76.807734)",4.97,0.92,3.19,0.22,94957.19,0,0,6.241018592,0.22
3/17/2024 6:00,"(42.089797, -76.807734)",4.72,0.92,3.95,0.02,95055.39,0,0,6.138513984,0.02
3/17/2024 7:00,"(42.089797, -76.807734)",4.45,0.89,4.16,0,95105.21,0,0,5.832851969,0
